,Bug_No,Topics,Text
0,0,"5 0.31192881192881194, 6 0.12337662337662335, 2 0.12000962000962004, 4 0.11495911495911498, 1 0.1115921115921116, 0 0.10990860990860993, 3 0.10822510822510824","﻿adding 2 patches. one includes a comprehensive review of the builder package, both style and syntax along with just syntax fixes for the other packages.the other fixes minor typos in the builder test package. "
1,1,"3 0.23939986953685585, 5 0.1663405088062622, 2 0.1404653185475103, 4 0.1313328984561861, 6 0.1191563383344205, 0 0.10545770819743422, 1 0.09784735812133075","hi,the javadoc examples for the stringutils.splitbywholeseparator(...) methods are not correct.- the examples of splitbywholeseperator(string,string) are illustrating the usage of the stringutils.split(string,string) method.- the 6th example of splitbywholeseperator(string,string,int) is not correct and should be removed.regards,maarten "
2,2,"4 0.2613510520487265, 0 0.18770764119601327, 3 0.15153193060169803, 5 0.11664820967146547, 2 0.09985234403839052, 1 0.09856035437430784, 6 0.08434846806939832","the padding array in class stringutils is one entry too short.as declared, it overflows on \uffff.to test, run: stringutils.leftpad(""abcd"", 10, \ufffe) // no exception stringutils.leftpad(""abcd"", 10, \uffff) // arrayindexoutofboundsexceptioncurrent code: private static final string[] padding = new string[character.max_value];suggested fix: private static final string[] padding = new string[character.max_value + 1]; "
3,3,"5 0.22117794486215542, 4 0.17293233082706766, 2 0.1539264828738513, 0 0.15246449456975772, 3 0.10714285714285712, 6 0.09837092731829576, 1 0.09398496240601506","i just discovered that the method tostringbuilder.reflectiontostring() does not work in a class hierarchy.for example:class a defines inst var a.class b extends a defines inst var b.new a().tostring returns ""a=...""new b().tostring returns ""b=...""when i expected new b().tostring to return ""a=...,b=...""can i use reflectiontostring() to accomplish this?thank you for considering this request.gary "
4,4,"2 0.3859943977591037, 0 0.11932773109243695, 4 0.11671335200746963, 3 0.11017740429505132, 6 0.09579831932773106, 1 0.08795518207282915, 5 0.08403361344537817","stringutils.split ignores empty items (eg. delimiter at the beginning of the string, 2 delimiters directly after another)eg.string[] l = stringutils.split(""x,de,germany"", "","");results in l[0] = ""x""l[1] = ""de""l[2] = ""germany""string[] l = stringutils.split("",de,germany"", "","");results inl[0] = ""de""l[1] = ""germany""expected : l[0] = """" (or null ?)l[1] = ""de""l[2] = ""germany""the current behaviour makes it impossible to detect the ""column"" (eg. for parsing .csv files). "
5,5,"3 0.33454849244322915, 4 0.2260955418850156, 0 0.13784461152882205, 5 0.12987012987012986, 2 0.07723855092276143, 1 0.04799878484089008, 6 0.04640388850915165","append two arrays of any object type to an equalsbuilder using equalsbuilder.append(object[], object[]) -- well call the first lhs and the second rhs. if, for any i, lhs[i] is not null, rhs[i] is not null, and rhs[i] is not of the same type as, or a subtype of, lhs[i], then the equalsbuilder will return false.however, this behavior is incorrect. while rare, it is perfectly valid in java to define an equals() method on a class a that will return true when passed in an object of some class b, where b is not the same as a nor a subtype of a. (a conceptual example is comparing a rgbcolor to a cmykcolor, where rgbcolor is not a subclass of cmykcolor, nor vice-versa. in this example, the equalsbuilder will return false, whether the equals() method is defined on rgbcolor to explicitly check cmykcolors, or even if you define a base-class color.equals() method that does an abstract comparison.)to reproduce:public static class a { private int a; public a(int a) { this.a = a; } public boolean equals(object o) { if (o == this) return true; if (o instanceof a) return this.a = ((a) o).geta(); if (o instanceof b) return this.a = ((b) o).getb(); return false; } public int geta() { return this.a; }}public static class b { private int b; public b(int b) { this.b = b; } public boolean equals(object o) { if (o == this) return true; if (o instanceof a) return this.b = ((a) o).geta(); if (o instanceof b) return this.b = ((b) o).getb(); return false; } public int getb() { return this.b; }}object[] x = new object[] { new a(1) };object[] y = new object[] { new b(1) };system.err.println(""x[0].equals(y[0])? "" + x[0].equals(y[0]));system.err.println(""does equalsbuilder think the arrays are equal? "" + (new equalsbuilder().append(x, y).isequals()));this program will output:truefalsethe attached patch adds to an existing unit-test case some code that proves the existence of this bug, and also fixes it. (it also fixes com-1842.) "
6,6,"1 0.2154566744730679, 2 0.1498829039812646, 4 0.1480614103564923, 5 0.1334894613583138, 3 0.11891751236013536, 0 0.11709601873536302, 6 0.11709601873536302","the following example from the javadoc is incorrect.stringutils.replace(""aba"", ""a"", """") = ""aba""it should be:stringutils.replace(""aba"", ""a"", """") = ""b"" "
7,7,"1 0.621808143547274, 4 0.0831608005521049, 3 0.07349896480331262, 5 0.06625258799171843, 0 0.05175983436853004, 2 0.05175983436853004, 6 0.05175983436853004","my program manages to generate this exceptionjavac psistatus.javapsistatus.java:59: cannot access org.apache.commons.lang.exception.nestableexceptionfile org/apache/commons/lang/exception/nestableexception.class not found connection con = torque.getconnection(""mypsi"");heres a snippet of source:package org.apache.jetspeed.portal.portlets;import org.apache.jetspeed.portal.portlets.abstractinstanceportlet;import org.apache.turbine.util.rundata;import org.apache.turbine.om.security.*;import org.apache.ecs.concreteelement;import org.apache.ecs.stringelement;import org.apache.torque.*;import javax.servlet.*;import java.sql.*;import javax.sql.*;import java.text.*;import java.util.*;public class myclass extends abstractinstanceportlet{ public concreteelement getcontent (rundata rundata) { connection con = torque.getconnection(""mypsi""); }} "
8,8,"1 0.17826617826617824, 4 0.1714285714285714, 5 0.15604395604395602, 6 0.14065934065934063, 2 0.12527472527472525, 0 0.11843711843711846, 3 0.1098901098901099",classutils.primitivetowrapper returns null when the specified class isvoid.type. because void.type is primitive but not present intoprimitivewrappermap. should return void.type instead. 
9,9,"6 0.21398046398046403, 3 0.20222832722832726, 2 0.1733821733821734, 4 0.1253052503052503, 5 0.1018009768009768, 0 0.09539072039072038, 1 0.0879120879120879","the following is directly from the javadoc page. please see inline notes.*** begin quote ***to use this class write code as follows: public class person { string name; int age; boolean issmoker; ... public string tostring() { return new tostringbuilder(this). append(name, ""name""). //!! should be - append(""name"", name). append(age, ""age""). //!! should be - append(""age"", age). append(smoker, ""smoker""). //!! should be - append(""smoker"", smoker). tostring(); } }*** end quote ***in short, the order of arguments to the append method in the example have been reversed.thank you. "
