,Document_No,Topics,Text
0,0,"5 0.28869047619047616, 6 0.12896825396825393, 2 0.12549603174603172, 4 0.1202876984126984, 1 0.11334325396825398, 0 0.11160714285714286, 3 0.11160714285714286",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
1,1,"3 0.21230158730158727, 2 0.19494047619047616, 6 0.12723214285714282, 4 0.12028769841269843, 1 0.12028769841269842, 0 0.11334325396825398, 5 0.11160714285714288",add final modifier to local variables.add final modifier to method parameters.[] added support for concurrentmap.putifabsent() to concurrentutils.
2,2,"4 0.27987861811391224, 0 0.14262371615312788, 2 0.12464985994397759, 3 0.11811391223155927, 6 0.11321195144724555, 5 0.11157796451914101, 1 0.10994397759103641",": avoid string allocation in strbuilder.append(charsequence). this fixes from github. thanks to mikhail mazurskiy and fabian lange.[] create strbuilder apis similar to string.format(string, object...)"
3,3,"3 0.21664521664521666, 0 0.20313170313170315, 1 0.13406263406263402, 2 0.12505362505362502, 4 0.12054912054912052, 5 0.10403260403260403, 6 0.09652509652509654",replaces size() == 0 and length() == 0 with isempty()add final modifier to local variables.[] strlookup for system properties now sees updated values.the lookup implementation now directly accesses system properties withoutcaching the properties object in any way.add final modifier to local variables.
4,4,"5 0.2783068783068782, 1 0.12275132275132275, 6 0.12275132275132275, 0 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
5,5,"2 0.25140809011776755, 3 0.14029697900665639, 1 0.1277521761392729, 5 0.12416794674859191, 0 0.12237583205325143, 4 0.11879160266257043, 6 0.11520737327188942","dont use single letter variable names.dont need internal ivar name for a boolean to carry a ""flag"" postfix.adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
6,6,"0 0.18905895691609972, 1 0.15136054421768702, 2 0.13945578231292519, 5 0.13350340136054423, 3 0.12953514739229025, 4 0.12953514739229025, 6 0.12755102040816327",": add archutils - an utility class for the ""os.arch"" system property ()"
7,7,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
8,8,"2 0.23072562358276635, 4 0.13151927437641722, 0 0.12755102040816327, 1 0.12755102040816327, 3 0.12755102040816327, 5 0.12755102040816327, 6 0.12755102040816327",crlf -> lfjavadoc: fix typo but working is still awkward.
9,9,"2 0.22274264897215715, 0 0.15716887848035385, 4 0.15170439760603693, 1 0.117096018735363, 3 0.117096018735363, 5 0.117096018735363, 6 0.117096018735363",: fix logic in isjsonarray method of jsontostringstyleextract logic for checking string representation of objects into separate methods
10,10,"3 0.43042671614100186, 1 0.09853638425066996, 2 0.09709338280766852, 4 0.09420737992166563, 6 0.09420737992166563, 0 0.0927643784786642, 5 0.0927643784786642","add final modifier to local variables.format.statement unnecessarily nested within else clause.\refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
11,11,"0 0.1693121693121693, 4 0.15285126396237506, 2 0.14873603762492651, 1 0.13227513227513232, 3 0.13227513227513232, 5 0.13227513227513232, 6 0.13227513227513232",: new methods for lang3.validatethis from github.
12,12,"0 0.16429963798384847, 2 0.16235032024505705, 1 0.1467557783347257, 3 0.13895850737956003, 5 0.13311055416318573, 4 0.1292119186856029, 6 0.12531328320802007","use validatenotnull instead of ""throw new nullpointerexception""adding basicthreadfactory class. same as olivers original patch in , with an @since 3.0 added"
13,13,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] new type util features
14,14,"2 0.19194591416813633, 6 0.14667842445620222, 0 0.1322751322751323, 1 0.1322751322751323, 3 0.1322751322751323, 4 0.1322751322751323, 5 0.1322751322751323",make sure placement of curly braces is consistent
15,15,"4 0.17794486215538843, 0 0.1584516847674742, 1 0.1467557783347257, 2 0.1409078251183514, 3 0.12531328320802007, 5 0.12531328320802007, 6 0.12531328320802007",[github] commons-lang pull request : intellij idea refactorings..
16,16,"5 0.27057387057387056, 2 0.1492063492063492, 3 0.1252747252747253, 4 0.11672771672771673, 6 0.11501831501831503, 1 0.11330891330891332, 0 0.1098901098901099",dont mutate parametersadd final modifier to method parameters.applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
17,17,"3 0.36327104681535066, 6 0.12135824794052641, 2 0.11854530841872613, 0 0.11573236889692584, 5 0.1002612015270243, 1 0.09041591320072336, 4 0.09041591320072336",": fastdateformat doesnt respect summer daylight in some localized stringsmerge branch master of https://github.com/nickmanley/commons-langthis fix nullpointerexception in fastdateparser$timezonestrategyfix nullpointerexception in fastdateparser$timezonestrategyrefactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
18,18,"0 0.1878306878306878, 2 0.14667842445620222, 1 0.13639035861258086, 3 0.1322751322751323, 4 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: add empty checks to objectutils
19,19,"4 0.20223398001175774, 2 0.13639035861258084, 0 0.1322751322751323, 1 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",eat own dog food: call stringutils.isempty().
20,20,"4 0.19897959183673466, 0 0.16326530612244894, 1 0.1275510204081633, 2 0.1275510204081633, 3 0.1275510204081633, 5 0.1275510204081633, 6 0.1275510204081633", - stackoverflowerror on typeutils.tostring(...) for a generic return type of enum.valueof ()
21,21,"1 0.69617294770669, 3 0.06699776024929399, 2 0.05540948485733761, 5 0.04722952575713313, 0 0.045184535982082004, 4 0.045184535982082004, 6 0.043821209465381254",add final modifier to local variables.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
22,22,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] new type util features
23,23,"5 0.2701014832162373, 6 0.14259692948217537, 1 0.11891751236013534, 0 0.11709601873536302, 2 0.11709601873536302, 3 0.11709601873536302, 4 0.11709601873536302",trailing spacesapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
24,24,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
25,25,"0 0.1651969429747207, 2 0.1549088771310993, 4 0.15079365079365079, 1 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: new methods for lang3.validatethis from github.
